2012-1,57,42068
2012-10,11,29587
2012-10,29,186938
2012-10,62,12551
2012-11,16,30303
2012-11,5,249050
2012-11,67,5064
2012-12,54,46473
2012-13,41,202450
2012-13,59,101675
2012-13,92,20051
2012-14,46,10539
2012-14,8,205812
2012-14,97,2264939
2012-15,33,293126
2012-16,20,12055
2012-16,38,19268
2012-16,71,41793
2012-17,25,85648
2012-18,12,54016
2012-18,63,502670
2012-19,0,139294
2012-19,17,37189
2012-19,50,11564
2012-20,10,74501
2012-20,28,54488
2012-20,79,22009
2012-21,15,13235
2012-22,53,78133
2012-23,40,18310
2012-23,58,300773
2012-23,91,21577
2012-24,45,62324
2012-24,96,131321
2012-25,32,25545
2012-26,2,44132
2012-26,37,106549
2012-26,70,16721
2012-27,24,20854
2012-27,75,29859
2012-28,11,29594
2012-28,29,205043
2012-28,62,16853
2012-29,16,28343
2012-29,5,264426
2012-29,67,5798
2012-30,1,46410
2012-30,27,229627
2012-30,60,24062
2012-30,78,2288
2012-31,14,48318
2012-31,65,5160
2012-32,19,51437
2012-33,4,167777
2012-33,57,326595
2012-34,44,24819
2012-34,95,30573
2012-35,31,48993
2012-35,49,31907
2012-35,82,9707
2012-36,36,530942
2012-36,7,61458
2012-37,23,111005
2012-37,74,14794
2012-38,10,79253
2012-38,28,42727
2012-38,79,24158
2012-39,15,16331
2012-40,26,288805
2012-40,6,43871
2012-41,13,15865
2012-41,64,89358
2012-42,18,88789
2012-42,51,273166
2012-42,69,20261
2012-43,56,299156
2012-43,9,729164
2012-44,43,18685
2012-45,30,74530
2012-45,81,24356
2012-45,99,334835
2012-46,35,69529
2012-47,22,28774
2012-47,73,82734
2012-48,1,52523
2012-48,27,268372
2012-48,60,48272
2012-48,78,5165
2012-49,14,70904
2012-49,65,9521
2012-50,25,119758
2012-51,12,52977
2012-51,63,719791
2012-52,0,175614
2012-52,17,36818
2012-52,50,8974
2012-9,40,10235
2012-9,58,138539
2012-9,91,9625
2013-1,47,10299
2013-1,98,722
2013-10,40,25058
2013-10,58,307422
2013-10,91,19408
2013-11,45,66975
2013-11,96,115725
2013-12,32,28670
2013-13,2,46739
2013-13,37,133613
2013-13,70,8915
2013-14,24,14264
2013-14,75,21784
2013-15,11,20821
2013-15,29,156284
2013-15,62,9802
2013-16,16,21449
2013-16,5,186981
2013-16,67,4485
2013-17,54,20485
2013-18,41,84938
2013-18,59,24679
2013-18,92,16830
2013-19,46,3833
2013-19,8,88206
2013-19,97,376848
2013-2,34,47426
2013-20,4,69398
2013-20,57,123866
2013-21,44,9173
2013-21,95,17717
2013-22,31,16929
2013-22,49,11630
2013-22,82,3383
2013-23,36,188985
2013-23,7,25380
2013-24,23,33903
2013-24,74,9933
2013-25,10,21673
2013-25,28,13838
2013-25,79,5892
2013-26,15,1633
2013-27,53,8815
2013-28,40,1815
2013-28,58,37416
2013-28,91,1303
2013-29,45,6636
2013-29,96,8066
2013-3,21,213321
2013-3,39,11508
2013-3,72,68584
2013-30,56,9078
2013-30,9,21124
2013-4,0,223959
2013-4,26,336985
2013-5,13,13749
2013-5,64,106015
2013-6,18,82002
2013-6,51,301479
2013-6,69,24221
2013-7,3,56233
2013-7,56,285009
2013-8,43,14060
2013-9,30,64153
2013-9,81,25196
2013-9,99,346980
2012-1,40,3736
2012-1,58,56483
2012-1,91,8958
2012-10,12,68870
2012-10,63,475879
2012-11,17,39113
2012-11,50,9023
2012-11,6,40388
2012-12,55,124149
2012-13,42,6681
2012-14,47,11206
2012-14,9,612820
2012-14,98,583
2012-15,34,38265
2012-16,21,248552
2012-16,39,9187
2012-16,72,49904
2012-17,26,273385
2012-18,13,9292
2012-18,64,90151
2012-19,1,49856
2012-19,18,72901
2012-19,51,252709
2012-19,69,20862
2012-20,11,31411
2012-20,29,177291
2012-20,62,17755
2012-21,16,28896
2012-21,67,5274
2012-22,54,41905
2012-23,0,126572
2012-23,41,192667
2012-23,59,75048
2012-23,92,22137
2012-24,46,7490
2012-24,97,402300
2012-25,33,313696
2012-26,20,12276
2012-26,3,39487
2012-26,38,23045
2012-26,71,45610
2012-27,25,84664
2012-28,12,75315
2012-28,63,521337
2012-29,17,40728
2012-29,50,11631
2012-29,6,41146
2012-30,10,67140
2012-30,2,40734
2012-30,28,46323
2012-30,79,24297
2012-31,15,12733
2012-32,53,78309
2012-33,40,17492
2012-33,5,292428
2012-33,58,309082
2012-33,91,21440
2012-34,45,58923
2012-34,96,131362
2012-35,32,28288
2012-36,37,183939
2012-36,70,12917
2012-36,8,242051
2012-37,24,22063
2012-37,75,20887
2012-38,11,31044
2012-38,29,222605
2012-38,62,15248
2012-39,16,30278
2012-39,67,5846
2012-40,27,252737
2012-40,60,47839
2012-40,7,67451
2012-40,78,3909
2012-41,14,63757
2012-41,65,8464
2012-42,19,47158
2012-43,57,316082
2012-44,44,32886
2012-44,95,29477
2012-45,31,63919
2012-45,49,40406
2012-45,82,10693
2012-46,36,558797
2012-47,23,81093
2012-47,74,14794
2012-48,10,73604
2012-48,2,59082
2012-48,28,44055
2012-48,79,22364
2012-49,15,22251
2012-50,26,311634
2012-51,13,32630
2012-51,64,127555
2012-52,1,42800
2012-52,18,96977
2012-52,51,227430
2012-52,69,15871
2012-9,41,111535
2012-9,59,33902
2012-9,92,9624
2013-1,30,58666
2013-1,81,20653
2013-1,99,307097
2013-10,0,212990
2013-10,41,251261
2013-10,59,77040
2013-10,92,28842
2013-11,46,10550
2013-11,97,778412
2013-12,33,306912
2013-13,20,9064
2013-13,3,53149
2013-13,38,26660
2013-13,71,35741
2013-14,25,67857
2013-15,12,36789
2013-15,63,328626
2013-16,17,35015
2013-16,50,7755
2013-16,6,26564
2013-17,55,62056
2013-18,42,2681
2013-19,47,4090
2013-19,9,266129
2013-19,98,438
2013-2,35,84517
2013-20,40,6734
2013-20,5,103642
2013-20,58,118846
2013-20,91,6613
2013-21,45,22956
2013-21,96,47202
2013-22,32,9148
2013-23,37,41610
2013-23,70,7419
2013-23,8,77531
2013-24,24,8429
2013-24,75,16863
2013-25,11,9061
2013-25,29,65168
2013-25,62,5328
2013-26,16,4266
2013-26,67,838
2013-27,54,5471
2013-28,0,22296
2013-28,41,21097
2013-28,59,6801
2013-28,92,2207
2013-29,46,694
2013-29,97,94600
2013-3,22,31567
2013-3,73,107445
2013-30,57,10835
2013-4,1,52084
2013-4,27,268013
2013-4,60,47147
2013-4,78,3645
2013-5,14,66632
2013-5,65,5817
2013-6,19,55296
2013-7,4,336737
2013-7,57,342224
2013-8,44,32257
2013-8,95,34086
2013-9,31,51002
2013-9,49,35918
2013-9,82,9368
2012-1,0,35475
2012-1,41,60802
2012-1,59,12656
2012-1,92,4118
2012-10,13,10782
2012-10,64,78686
2012-11,18,75565
2012-11,51,240459
2012-11,69,17695
2012-11,7,51241
2012-12,56,245995
2012-13,43,21563
2012-13,94,10
2012-14,30,84929
2012-14,81,20758
2012-14,99,396081
2012-15,35,70631
2012-16,22,30564
2012-16,73,67131
2012-17,27,230235
2012-17,60,26060
2012-17,78,2821
2012-18,14,54106
2012-18,65,4771
2012-19,19,45795
2012-19,2,47965
2012-20,12,55377
2012-20,63,493362
2012-21,17,39717
2012-21,50,7086
2012-22,55,188689
2012-23,1,49242
2012-23,42,6252
2012-24,47,11839
2012-24,98,690
2012-25,34,41973
2012-26,21,304526
2012-26,39,9231
2012-26,4,169478
2012-26,72,53203
2012-27,26,304566
2012-28,13,10656
2012-28,64,102670
2012-29,18,80608
2012-29,51,252152
2012-29,69,22311
2012-29,7,55222
2012-30,11,27870
2012-30,29,184957
2012-30,3,35674
2012-30,62,17189
2012-31,16,28424
2012-31,67,6278
2012-32,54,49708
2012-33,41,188781
2012-33,59,65825
2012-33,6,38797
2012-33,92,22965
2012-34,46,7451
2012-34,97,577874
2012-35,33,344820
2012-36,20,16874
2012-36,38,26175
2012-36,71,44798
2012-36,9,707298
2012-37,25,97071
2012-38,12,55997
2012-38,63,517496
2012-39,17,51372
2012-39,50,11145
2012-40,10,81403
2012-40,28,43961
2012-40,79,24684
2012-40,8,230594
2012-41,15,16240
2012-42,53,100367
2012-43,40,21729
2012-43,58,314243
2012-43,91,19528
2012-44,45,56473
2012-44,96,146971
2012-45,0,302748
2012-45,32,36041
2012-46,37,351100
2012-46,70,10480
2012-47,24,16930
2012-47,75,25008
2012-48,11,28717
2012-48,29,209156
2012-48,3,76713
2012-48,62,12685
2012-49,16,33858
2012-49,67,6446
2012-50,27,258859
2012-50,60,72601
2012-50,78,5903
2012-51,14,109262
2012-51,65,25056
2012-52,19,36585
2012-52,2,48257
2012-9,42,3616
2013-1,31,55510
2013-1,49,32862
2013-1,82,7847
2013-10,1,55710
2013-10,42,9400
2013-11,47,10003
2013-11,98,803
2013-12,34,43611
2013-13,21,160918
2013-13,39,8026
2013-13,4,348202
2013-13,72,45197
2013-14,26,210701
2013-15,13,7036
2013-15,64,63325
2013-16,18,53558
2013-16,51,169780
2013-16,69,14917
2013-16,7,42279
2013-17,56,114049
2013-18,43,6207
2013-19,30,29741
2013-19,81,12890
2013-19,99,132838
2013-2,36,516579
2013-20,41,69694
2013-20,59,22863
2013-20,6,16286
2013-20,92,15147
2013-21,46,3372
2013-21,97,401159
2013-22,33,124897
2013-23,20,4340
2013-23,38,8781
2013-23,71,22196
2013-23,9,240685
2013-24,25,42797
2013-25,12,20349
2013-25,63,157885
